ID_LEV,NOME_LEV,TIPO_MATERIAL_COLETADO,HORARIO_FUNCIONAMENTO,TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,BAIRRO,REGIONAL,REF_LOCALIZACAO,GEOMETRIA
128,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,GETULIO VARGAS,,,Savassi,CENTRO-SUL,ENTRE AVENIDA GETÚLIO VARGAS E RUA DOS INCONFIDENTES,POINT Z (611746.880950341 7795196.46204216 0)
129,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,RUA,TRIFANA,,,Serra,CENTRO-SUL,ENTRE RUA ORIENTE E RUA SANTA HELENA,POINT (613199.181378717 7794322.53923485)
130,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,ARTUR BERNARDES,,,Santa Lúcia,CENTRO-SUL,RUA MURILLO MORAES DE ANDRADE E RUA PRINCIPAL,POINT (610285.034619846 7793576.64930605)
131,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,RAJA GABAGLIA,2671.0,,São Bento,CENTRO-SUL,ENTRE RUA JUIZ ACHILLES VELLOSO E PRAÇA CARLOS DRUMOND DE ANDRADE,POINT (609107.385499653 7792652.66231575)
132,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,RAJA GABAGLIA,,,São Bento,CENTRO-SUL,ENTRE VIA DE PEDESTRE UM E RUA YVON MAGALHAES PINTO,POINT (609269.13862363 7792214.07386271)
133,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,PRUDENTE DE MORAIS,,,Santo Antônio,CENTRO-SUL,RUA JOAQUIM MURTINHO E RUA BARÃO DE MACAÚBAS,POINT (610163.246821762 7795025.01902206)
241,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,AVE,GETULIO VARGAS,,,Funcionários,CENTRO-SUL,ENTRE RUA DOS AIMORES E RUA GRÃO PARÁ,POINT (612570.930739904 7795709.88706103)
361,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,PCA,GERALDO MANSUR,,,Ademar Maldonado,BARREIRO,ENTRE AVENIDA AFONSO VAZ DE MELO E RUA QUINCAS BORBA,POINT (601721.869699566 7790461.98538665)
381,LOCAL DE ENTREGA VOLUNTÁRIA,VIDRO,24 HORAS/DIA,RUA,SAPUCAI,,,Floresta,CENTRO-SUL,ENTRE AVENIDA FRANCISCO SALES E RUA TAPUIAS,POINT (611777.35455789 7797501.93898841)
401,LOCAL DE ENTREGA VOLUNTÁRIA,PAPEL; VIDRO,"SEG À SEX: 07:00 ÀS 18:00, SAB: 07:00 ÀS 12:00",RUA,CONSELHEIRO PIRES DA MOTA,151.0,,Salgado Filho,OESTE,GELU-OESTE (ÁREA INTERNA),POINT (606608.517935407 7794288.76327872)
