ID_LEV;NOME_LEV;TIPO_MATERIAL_COLETADO;HORARIO_FUNCIONAMENTO;TIPO_LOGRADOURO;NOME_LOGRADOURO;NUMERO_IMOVEL;LETRA_IMOVEL;BAIRRO;REGIONAL;REF_LOCALIZACAO;GEOMETRIA
461;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO, VIDRO;SEG À SEX: 08:00 ÀS 17:00, SÁB: 08:00 ÀS 12:00;RUA;NILO ANTONIO GAZIRE;147.0;;Estoril;OESTE;CEMAR (ÁREA INTERNA);POINT (608157.24 7792441.29)
462;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;RUA;DOS TIMBIRAS;;;Funcionários;CENTRO-SUL;ENTRE AVENIDA AFONSO PENA E RUA PARAÍBA;POINT (611727.46 7796083.32)
501;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;RUA;ERE;;;Prado;OESTE;ESQUINA COM RUA JOÃO LÚCIO BRANDÃO;POINT (609002.13 7796786.64)
563;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 H-DIA (APENAS FUNCIONÁRIOS DO HOTEL);AVE;CRISTIANO MACHADO;4001.0;;Ipiranga;NORDESTE;PÁTIO INTERNO DO HOTEL OURO MINAS;POINT (612085.92 7801893.59)
581;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO;SEGUNDA A SEXTA DE 09 ÀS 17 HORAS;RUA;HENRIQUE CABRAL;45.0;;São Luíz;PAMPULHA;CARE PAMPULHA - ÁREA INTERNA;POINT (608937.38 7804090.02)
601;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO;SEG À SEX: 08:00 ÀS 17:00;RUA;SALINAS;1447.0;;Santa Tereza;LESTE;CARE - L (ÁREA INTERNA);POINT (612906.33 7797569.69)
641;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;PCA;COMENDADOR NEGRAO DE LIMA;;;Floresta;LESTE;NA ESQUINA DA RUA DONA MARIA IGNEZ E DA RUA DONA LIDYA COUTO;POINT (611972.49 7798024.70)
701;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;SEG À SEX, DE 7 ÀS 18H, SÁB, DOM E FER 7:40 ÀS 16H;AVE;PRESIDENTE TANCREDO NEVES;4200.0;;Paquetá;PAMPULHA;URPV PAQUETÁ (ÁREA INTERNA);POINT (605379.01 7802232.09)
721;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;OLINTO MEIRELES;;;Miramar;BARREIRO;PRAÇA JOSÉ VERANO DA SILVA (PRAÇA DA FEBEM). ENTRE RUA ERIDANO E RUA JOAQUIM TEIXEIRA DE MORAIS;POINT (603950.35 7788675.96)
1161;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS POR DIA;RUA;BELFORT ROXO;215.0;;Nova Granada;OESTE;ÁREA EXTERNA DO CEVAE MORRO DAS PEDRAS, NO RECUO DA CALÇADA.;POINT (608220.40 7794352.86)
1261;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS POR DIA;RUA;SAPUCAI;;;Centro;HIPERCENTRO;ESQUINA COM O VIADUTO SANTA TEREZA (AVENIDA ASSIS CHATEAUBRIAND);POINT (611669.48 7797130.80)
1341;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;SEG À SEX: 07H -17H, SAB, DOM, FER: 07H40MIN - 16H;RUA;MARLY PASSOS;10.0;;Túnel de Ibirité;BARREIRO;ÁREA INTERNA DA URPV TÚNEL DE IBIRITÉ;POINT (599758.08 7790005.64)
1361;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;SEG À SEX, DE 7 ÀS 18H, SÁB, DOM, FER 7:40 ÀS 16H;RUA;ANTONIO DE SOUZA GOMES;110.0;;Lindéia;BARREIRO;ÁREA INTERNA DA URPV LINDÉIA;POINT (599207.95 7789900.88)
75;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;COSTA DO MARFIM;;;Havaí;OESTE;ENTRE RUA HAVANA E RUA SÃO SALVADOR;POINT (607727.50 7792132.99)
77;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO;SEG À SEX: 07:00 ÀS 16:00;RUA;BELFORT ROXO;215.0;;Nova Granada;OESTE;CEVAE MORRO DAS PEDRAS (ÁREA INTERNA);POINT (608213.80 7794398.50)
78;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO, VIDRO;SEG À SEX: 07H -17H, SAB, DOM, FER: 07H40MIN - 16H;RUA;CACUI;121.0;;Nova Suissa;OESTE;URPV BARÃO (ÁREA INTERNA);POINT (607520.47 7795183.40)
114;LOCAL DE ENTREGA VOLUNTÁRIA;METAL, PAPEL, PLÁSTICO, VIDRO;SEG À SEX: 07:00 ÀS 17:00, SAB: 08:00 ÀS 12:00;RUA;VICENTE DE AZEVEDO;301.0;;Barreiro;BARREIRO;GELU-BARREIRO (ÁREA INTERNA);POINT (602007.80 7790523.55)
121;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;RUA;PADRE MANOEL BERNARDES;;;Alto dos Pinheiros;NOROESTE;ESQUINA COM RUA BUENO DO PRADO;POINT (604876.23 7795647.25)
125;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;RUA;DOS AIMORES;;;Boa Viagem;CENTRO-SUL;ENTRE RUA SERGIPE E RUA ALAGOAS;POINT (611497.78 7796001.57)
128;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;GETULIO VARGAS;;;Savassi;CENTRO-SUL;ENTRE AVENIDA GETÚLIO VARGAS E RUA DOS INCONFIDENTES;POINT (611746.88 7795196.46)
130;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;ARTUR BERNARDES;;;Santa Lúcia;CENTRO-SUL;RUA MURILLO MORAES DE ANDRADE E RUA PRINCIPAL;POINT (610285.03 7793576.65)
131;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;RAJA GABAGLIA;2671.0;;São Bento;CENTRO-SUL;ENTRE RUA JUIZ ACHILLES VELLOSO E PRAÇA CARLOS DRUMOND DE ANDRADE;POINT (609107.39 7792652.66)
132;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;RAJA GABAGLIA;;;São Bento;CENTRO-SUL;ENTRE VIA DE PEDESTRE UM E RUA YVON MAGALHAES PINTO;POINT (609269.14 7792214.07)
133;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;PRUDENTE DE MORAIS;;;Santo Antônio;CENTRO-SUL;RUA JOAQUIM MURTINHO E RUA BARÃO DE MACAÚBAS;POINT (610163.25 7795025.02)
241;LOCAL DE ENTREGA VOLUNTÁRIA;VIDRO;24 HORAS-DIA;AVE;GETULIO VARGAS;;;Funcionários;CENTRO-SUL;ENTRE RUA DOS AIMORES E RUA GRÃO PARÁ;POINT (612570.93 7795709.89)
